Topic Id,Top Words...
0,â dream good great man love day life person denotes children time happy woman make child friend 1 marriage family
1,ye oâ aâ ll â wiâ iâ man john good nae er wife anâ hae day ay auld mither yeâ
2,â 1 ft ot 4 ii id ti tâ ir er ar fi iâ ne cf wi ia 11 ve
3,jack de water put giant st day half air city hundred till large make days fire cut made lay time
4,â man œ king time made tom george 1 day house poor good told great night money wife put home
5,â love iâ ll 1 thou thy thee er dear man heart fair young day good wife lady sir father
6,fo faid 1 fuch thefe great fee time fome king fhe fay fays man houfe fame fhall laid made hall
7,â god lord thy thou œ ye 1 thee hath death chrift christ world day heaven 2 word grace faith
8,â œ time men made king sir great found left place country ing ed mr life day house john english
9,â oâ ye er ll wiâ iâ aâ anâ sae love heart bonny œ sweet frae dear 1 nae day
